artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Eizzyboy,0.235,0.753,0.767,0.0,0.0976,-4.949,0.0362,93.553,0.513,229733.0,16,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5252,0.762,0.484,0.436,0.0,0.114,-8.029,0.0368,179.703,0.375,185637.0,20,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Miso,0.628,0.557,0.735,0.0,0.168,-7.721,0.31,169.998,0.67,199748.0,39,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Yoon Jong Shin,0.401,0.448,0.586,0.0,0.225,-4.942,0.0413,71.824,0.178,280893.0,28,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
LUDA,0.813,0.383,0.255,0.0,0.36,-9.767,0.0288,139.728,0.171,200400.0,34,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Joob A,0.783,0.505,0.557,2.45e-06,0.417,-7.098,0.172,79.169,0.543,200680.0,28,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Lee Hyuk,0.795,0.603,0.382,9.82e-06,0.0945,-7.298,0.0267,147.947,0.393,172250.0,18,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Nieah,0.0843,0.606,0.744,0.0,0.372,-4.053,0.121,169.798,0.199,173501.0,42,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
HORI7ON,0.0237,0.69,0.933,0.0,0.193,-2.525,0.173,110.023,0.807,189272.0,49,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nerd Connection,0.000105,0.429,0.949,0.228,0.187,-2.413,0.14,128.068,0.277,170500.0,32,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
META.,0.0327,0.781,0.847,0.0,0.119,-7.804,0.317,100.002,0.139,189600.0,17,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
or&,0.86,0.549,0.417,0.0,0.108,-4.872,0.0282,129.758,0.218,211400.0,33,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Wonstein,0.147,0.757,0.742,0.0,0.289,-5.664,0.0458,138.884,0.543,129947.0,47,0,0.35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Yang Hee Eun,0.939,0.421,0.257,0.0,0.098,-8.152,0.028,85.946,0.161,253387.0,49,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
XODIAC,0.133,0.756,0.758,0.0,0.164,-3.322,0.0435,126.042,0.812,208613.0,54,1,0.4285714285714286,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Kid Milli,0.245,0.735,0.836,0.0,0.116,-3.683,0.0687,159.934,0.663,181735.0,48,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
DINDIN,0.117,0.743,0.591,0.0,0.0695,-6.672,0.0576,80.011,0.591,196120.0,37,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
WH3N,0.527,0.808,0.402,0.0,0.164,-5.582,0.0621,116.016,0.435,158560.0,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
xooos,0.164,0.763,0.682,0.0,0.104,-4.971,0.0895,138.089,0.595,199640.0,47,0,-0.6999999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Sondia,0.821,0.447,0.39,3.86e-06,0.104,-8.266,0.0324,121.989,0.0871,253320.0,38,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
YUMIN,0.526,0.562,0.652,0.0,0.101,-4.689,0.0266,96.938,0.598,191755.0,26,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Raina,0.00636,0.603,0.883,0.0,0.112,-3.982,0.0379,104.008,0.472,201850.0,32,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
