artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Secret,0.00873,0.653,0.881,0.0,0.0699,-4.71,0.0319,102.046,0.55,207256.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
B.A.P,0.0239,0.699,0.897,2.19e-06,0.154,-3.078,0.0988,105.634,0.336,244603.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
BoA,0.136,0.641,0.645,0.000145,0.145,-6.54,0.0366,90.027,0.546,217085.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NU'EST,0.0226,0.789,0.88,0.0,0.386,-3.235,0.064,123.97,0.615,220135.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
T-ARA,0.00659,0.756,0.915,3.06e-06,0.0389,-1.858,0.0368,132.059,0.949,227360.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Spica,0.0954,0.361,0.955,0.0,0.187,-2.384,0.328,196.307,0.575,210077.0,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BTOB,0.00358,0.586,0.874,0.0,0.0946,-4.606,0.0586,133.051,0.188,228362.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Spica,0.0793,0.802,0.889,0.0,0.509,-3.82,0.0815,109.994,0.878,186514.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Gain,0.0735,0.8,0.947,0.0,0.327,-1.97,0.1,123.975,0.76,227683.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BIGBANG,0.0595,0.609,0.706,0.0,0.056,-7.275,0.0852,124.989,0.358,233099.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
